Original_Text,Formatted_Date,Generated_Full_Response,Extracted_Key_Response
corrections junior doctors class action lawsuit,30 April 2021,"30 April 2021 - corrections junior doctors class action lawsuit - the first time that the federal court in the United States has granted preliminary relief to junior doctors in a discrimination claim against an employer.
As of today 30 April 2021, the US District Court for the Northern District of California in a ground-breaking decision has granted preliminary relief to a group of junior doctors who are seeking to overturn the restrictions imposed on their working hours.
The decision by Judge Edward Chen in San Francisco is the first time that the federal court in the United States has granted preliminary relief to junior doctors in a discrimination claim against an employer.
It is also the first time that the federal court in the United States has granted preliminary relief to junior doctors in a discrimination claim against an employer.
The junior doctors in California are represented by international law firm Quinn Emanuel Urquhart & Sullivan and by the law firm O'Melveny & Myers. 
They are seeking to overturn the restrictions imposed on their working hours by the California Department of Public Health, known as the ""CalOSHA"""," - the first time that the federal court in the United States has granted preliminary relief to junior doctors in a discrimination claim against an employer.
As of today 30 April 2021, the US District Court for the Northern District of California in a ground-breaking decision has granted preliminary relief to a group of junior doctors who are seeking to overturn the restrictions imposed on their working hours.
The decision by Judge Edward Chen in San Francisco is the first time that the federal court in the United States has granted preliminary relief to junior doctors in a discrimination claim against an employer.
It is also the first time that the federal court in the United States has granted preliminary relief to junior doctors in a discrimination claim against an employer.
The junior doctors in California are represented by international law firm Quinn Emanuel Urquhart & Sullivan and by the law firm O'Melveny & Myers. 
They are seeking to overturn the restrictions imposed on their working hours by the California Department of Public Health, known as the ""CalOSHA"""
outside broadcast in the 80s,28 July 2021,"28 July 2021 - outside broadcast in the 80s
26 October 2020 - outside broadcast in the 80s
28 August 2021 - outside broadcast in the 80s
17 October 2019 - outside broadcast in the 80s
17 September 2019 - outside broadcast in the 80s
28 September 2019 - outside broadcast in the 80s
21 July 2019 - outside broadcast in the 80s
24 August 2019 - outside broadcast in the 80s
10 November 2019 - outside broadcast in the 80s
12 October 2019 - outside broadcast in the 80s
15 November 2019 - outside broadcast in the 80s
19 August 2019 - outside broadcast in the 80s
18 November 2019 - outside broadcast in the 80s
19 September 2019 - outside broadcast in the 80s
19 August 2019 - outside broadcast in the 80s
12 September ","
26 October 2020 - outside broadcast in the 80s
28 August 2021 - outside broadcast in the 80s
17 October 2019 - outside broadcast in the 80s
17 September 2019 - outside broadcast in the 80s
28 September 2019 - outside broadcast in the 80s
21 July 2019 - outside broadcast in the 80s
24 August 2019 - outside broadcast in the 80s
10 November 2019 - outside broadcast in the 80s
12 October 2019 - outside broadcast in the 80s
15 November 2019 - outside broadcast in the 80s
19 August 2019 - outside broadcast in the 80s
18 November 2019 - outside broadcast in the 80s
19 September 2019 - outside broadcast in the 80s
19 August 2019 - outside broadcast in the 80s
12 September "
scott white pleads not guilty to murdering scott johnson,28 January 2021,"28 January 2021 - scott white pleads not guilty to murdering scott johnson
Scott White has pleaded not guilty to the murder of Scott Johnson at his sentencing hearing in the ACT Supreme Court on Thursday. He has also pleaded guilty to the assault and manslaughter of John Graham and the manslaughter of John Johnson. Read More
28 January 2021 - scott white sentenced to 25 years imprisonment for scott johnson's murder
The ACT Court of Criminal Appeal sentenced Scott White to 25 years imprisonment with non-parole period of 22 years. The court found that he was the main trigger of the shooting and caused the death of Scott Johnson. White has been found not guilty of the murder of John Johnson and the manslaughter of John Graham. Read More
28 January 2021 - scott white sentenced to 25 years imprisonment for scott johnson's murder
The ACT Court of Criminal Appeal sentenced Scott White to 25 years imprisonment with non-parole period of 22 years. The court found that he was the main trigger of the shooting and caused the death","
Scott White has pleaded not guilty to the murder of Scott Johnson at his sentencing hearing in the ACT Supreme Court on Thursday. He has also pleaded guilty to the assault and manslaughter of John Graham and the manslaughter of John Johnson. Read More
28 January 2021 - scott white sentenced to 25 years imprisonment for scott johnson's murder
The ACT Court of Criminal Appeal sentenced Scott White to 25 years imprisonment with non-parole period of 22 years. The court found that he was the main trigger of the shooting and caused the death of Scott Johnson. White has been found not guilty of the murder of John Johnson and the manslaughter of John Graham. Read More
28 January 2021 - scott white sentenced to 25 years imprisonment for scott johnson's murder
The ACT Court of Criminal Appeal sentenced Scott White to 25 years imprisonment with non-parole period of 22 years. The court found that he was the main trigger of the shooting and caused the death"
australian open coronavirus paula badosa loses first round,09 February 2021,"09 February 2021 - australian open coronavirus paula badosa loses first round at australian open after positive coronavirus test
Aussie star Paula Badosa will miss the rest of the Australian Open after testing positive to Covid-19.
The 22-year-old Spaniard said she would be ""sad to miss the last week of the most important Grand Slam in the world"" after testing positive for the virus on Monday.
But she said she was ""truly grateful to be one of the lucky ones to test positive at the Australian Open rather than in the community.""
Badosa will be replaced by American Madison Brengle in the women's singles main draw.
The 31-year-old was selected from a list of qualifiers who would fill in for players who tested positive for the virus.
Brengle will now take Badosa's place in the draw at the Australian Open, which is currently underway in Melbourne.
The Spaniard, who plays in the women's singles main draw at the Australian Open, had to leave the tournament after testing positive to Covid-19. Picture"," at australian open after positive coronavirus test
Aussie star Paula Badosa will miss the rest of the Australian Open after testing positive to Covid-19.
The 22-year-old Spaniard said she would be ""sad to miss the last week of the most important Grand Slam in the world"" after testing positive for the virus on Monday.
But she said she was ""truly grateful to be one of the lucky ones to test positive at the Australian Open rather than in the community.""
Badosa will be replaced by American Madison Brengle in the women's singles main draw.
The 31-year-old was selected from a list of qualifiers who would fill in for players who tested positive for the virus.
Brengle will now take Badosa's place in the draw at the Australian Open, which is currently underway in Melbourne.
The Spaniard, who plays in the women's singles main draw at the Australian Open, had to leave the tournament after testing positive to Covid-19. Picture"
one person dies during indian protests over,27 January 2021,"27 January 2021 - one person dies during indian protests over new farm laws
Indian farmers have been protesting in Delhi since November 2020
One person died today (27 January 2021) in the protest camp at the border of Delhi
The Indian government says it is ready to repeal the three new farm laws that the farmers are protesting against.
Prime Minister Narendra Modi has said the government is ready to listen to farmers' concerns, but farmers say they will not back down until their demands are met.
One person died in Delhi this morning after being hit by a car, and farmers say they are being beaten by police and have suffered tear gas attacks.
Farmers have been protesting in Delhi for nearly two months and they want the laws repealed and compensation for their losses.
Protesters have erected tents, kitchens and other amenities, and have set up a hospital to treat those injured during the protests.
The farmers are protesting against the Centre’s new farm laws, including the Farmers’ Produce Trade and Commerce (Promotion and Facilitation) Act, 202"," new farm laws
Indian farmers have been protesting in Delhi since November 2020
One person died today (27 January 2021) in the protest camp at the border of Delhi
The Indian government says it is ready to repeal the three new farm laws that the farmers are protesting against.
Prime Minister Narendra Modi has said the government is ready to listen to farmers' concerns, but farmers say they will not back down until their demands are met.
One person died in Delhi this morning after being hit by a car, and farmers say they are being beaten by police and have suffered tear gas attacks.
Farmers have been protesting in Delhi for nearly two months and they want the laws repealed and compensation for their losses.
Protesters have erected tents, kitchens and other amenities, and have set up a hospital to treat those injured during the protests.
The farmers are protesting against the Centre’s new farm laws, including the Farmers’ Produce Trade and Commerce (Promotion and Facilitation) Act, 202"
pregnant women asked to get covid tested before,28 December 2021,"28 December 2021 - pregnant women asked to get covid tested before attending maternity hospital
The HSE has today published guidance for pregnant women who may have covid and are planning a delivery in a maternity hospital. They have been advised to get tested and not to come to hospital if they test positive. The HSE said:
The number of people admitted to maternity hospitals has increased since the HSE announced the national lockdown, and we are continuing to monitor hospital activity closely. There has been an increase in covid in Ireland since the HSE announced the national lockdown, which is likely to have affected admissions. However, in line with current advice, women who are pregnant should attend hospital for planned deliveries unless they have been told otherwise. 
This advice is being issued to help ensure the safety of pregnant women and their families, and to help us continue to provide care to women in a safe way.
In most cases, pregnant women should attend their scheduled appointments for routine antenatal care. This includes routine ultrasound and scans.
We have issued advice for pregnant women who are planning a"," attending maternity hospital
The HSE has today published guidance for pregnant women who may have covid and are planning a delivery in a maternity hospital. They have been advised to get tested and not to come to hospital if they test positive. The HSE said:
The number of people admitted to maternity hospitals has increased since the HSE announced the national lockdown, and we are continuing to monitor hospital activity closely. There has been an increase in covid in Ireland since the HSE announced the national lockdown, which is likely to have affected admissions. However, in line with current advice, women who are pregnant should attend hospital for planned deliveries unless they have been told otherwise. 
This advice is being issued to help ensure the safety of pregnant women and their families, and to help us continue to provide care to women in a safe way.
In most cases, pregnant women should attend their scheduled appointments for routine antenatal care. This includes routine ultrasound and scans.
We have issued advice for pregnant women who are planning a"
hamilton australia cast lin manuel miranda final rehearsals,10 March 2021,"10 March 2021 - hamilton australia cast lin manuel miranda final rehearsals in the works
Hamilton Australia Cast & Crew in Final Rehearsals
Rehearsals for Hamilton in Australia have wrapped up with an announcement that tickets for the show will go on sale on Thursday, 11 March.
The announcement came at a special event in Melbourne last night, with the cast and creative team taking to the stage to celebrate the show's arrival in Australia. The cast of Hamilton Australia performed the opening number of the show, which includes some of the songs from the show, including 'Alexander Hamilton', 'My Shot', and 'The Room Where It Happens'. The cast also performed 'Satisfied' from the show, and 'History Has Its Eyes on You' from the musical.
The cast of Hamilton Australia was introduced by director and co-bookwriter, Thomas Kail. He said that the show would be'something very special', and that the cast had worked incredibly hard to make it so.
Hamilton Australia is currently in rehearsal, and will open in Melbourne on March"," in the works
Hamilton Australia Cast & Crew in Final Rehearsals
Rehearsals for Hamilton in Australia have wrapped up with an announcement that tickets for the show will go on sale on Thursday, 11 March.
The announcement came at a special event in Melbourne last night, with the cast and creative team taking to the stage to celebrate the show's arrival in Australia. The cast of Hamilton Australia performed the opening number of the show, which includes some of the songs from the show, including 'Alexander Hamilton', 'My Shot', and 'The Room Where It Happens'. The cast also performed 'Satisfied' from the show, and 'History Has Its Eyes on You' from the musical.
The cast of Hamilton Australia was introduced by director and co-bookwriter, Thomas Kail. He said that the show would be'something very special', and that the cast had worked incredibly hard to make it so.
Hamilton Australia is currently in rehearsal, and will open in Melbourne on March"
bureau of magical things,13 March 2021,"13 March 2021 - bureau of magical things, review
When I first started reading, I didn’t realise I was about to be transported into a magical universe. I wasn’t sure what to expect and I was so pleasantly surprised when I found out. The story was about a teenager named Nina who is sent to an academy for young magicians. I wasn’t sure what to think of it at first because it was quite a slow start. I was glad that it was slow though because it allowed me to enjoy the first couple of chapters without worrying about the story moving too fast. I also enjoyed the characters in the book because they had their own personalities and the relationships between them were very relatable.
The story was well-written and I enjoyed it because of the many different elements that it contained. I really liked the setting and the characters were interesting to read about. I loved the magical creatures and I was amazed at how creative the author was with her descriptions. I was very impressed with the author’s writing style because it was easy to follow",", review
When I first started reading, I didn’t realise I was about to be transported into a magical universe. I wasn’t sure what to expect and I was so pleasantly surprised when I found out. The story was about a teenager named Nina who is sent to an academy for young magicians. I wasn’t sure what to think of it at first because it was quite a slow start. I was glad that it was slow though because it allowed me to enjoy the first couple of chapters without worrying about the story moving too fast. I also enjoyed the characters in the book because they had their own personalities and the relationships between them were very relatable.
The story was well-written and I enjoyed it because of the many different elements that it contained. I really liked the setting and the characters were interesting to read about. I loved the magical creatures and I was amazed at how creative the author was with her descriptions. I was very impressed with the author’s writing style because it was easy to follow"
university of queensland still working ground,22 April 2021,"22 April 2021 - university of queensland still working ground (7)
A recent study conducted by Professor Anthony Larmour and his team has shed light on how we may be able to better protect the Great Barrier Reef in the future.
This has been achieved through a study that analysed water column data from 10 locations around the reef.
“This study is the first to use this type of data to look at the relationship between nitrogen in surface water and harmful algal blooms, which is a significant challenge for the reef ecosystem,” Professor Larmour said.
The results of this study, published in the journal Marine Pollution Bulletin, have highlighted that nitrogen in surface waters is a strong predictor of harmful algal blooms in the Great Barrier Reef. They also showed that algal bloom conditions on the reef are more likely to occur under conditions of higher nitrogen.
Nitrogen is a key nutrient for algal growth and its high concentrations in surface waters are detrimental to the reef, as it inhibits the growth of corals and algae that provide the reef with habitat.
The study"," (7)
A recent study conducted by Professor Anthony Larmour and his team has shed light on how we may be able to better protect the Great Barrier Reef in the future.
This has been achieved through a study that analysed water column data from 10 locations around the reef.
“This study is the first to use this type of data to look at the relationship between nitrogen in surface water and harmful algal blooms, which is a significant challenge for the reef ecosystem,” Professor Larmour said.
The results of this study, published in the journal Marine Pollution Bulletin, have highlighted that nitrogen in surface waters is a strong predictor of harmful algal blooms in the Great Barrier Reef. They also showed that algal bloom conditions on the reef are more likely to occur under conditions of higher nitrogen.
Nitrogen is a key nutrient for algal growth and its high concentrations in surface waters are detrimental to the reef, as it inhibits the growth of corals and algae that provide the reef with habitat.
The study"
corowa tourism operators waiting for victorians to come back,24 January 2021,"24 January 2021 - corowa tourism operators waiting for victorians to come back
Victoria's border closure has hit hard on the Murray Valley town of Corowa, which has seen a reduction of more than 30 per cent of visitor numbers compared to the same time last year. 
In the absence of visitors, the tourism sector in the town has been forced to rethink how it can best survive the crisis.
Many businesses in the region rely heavily on tourism, with accommodation providers saying the lack of tourists is impacting their bottom line.
In 2018 the region recorded a 21 per cent increase in tourism spending.
The Victorian border closure has led to a drastic decrease in visitors with some accommodation providers saying the lack of tourists has left them struggling to survive.
“We have had two nights of guests booked for the next two weeks, and that’s it, and it’s heartbreaking,” said Corowa Motel owner, Pauline Smedley.
“Every morning, I’m on the phone with people who have booked a room for a couple of days, and they’ve changed their mind","
Victoria's border closure has hit hard on the Murray Valley town of Corowa, which has seen a reduction of more than 30 per cent of visitor numbers compared to the same time last year. 
In the absence of visitors, the tourism sector in the town has been forced to rethink how it can best survive the crisis.
Many businesses in the region rely heavily on tourism, with accommodation providers saying the lack of tourists is impacting their bottom line.
In 2018 the region recorded a 21 per cent increase in tourism spending.
The Victorian border closure has led to a drastic decrease in visitors with some accommodation providers saying the lack of tourists has left them struggling to survive.
“We have had two nights of guests booked for the next two weeks, and that’s it, and it’s heartbreaking,” said Corowa Motel owner, Pauline Smedley.
“Every morning, I’m on the phone with people who have booked a room for a couple of days, and they’ve changed their mind"
concerns about environmental impact of plan to raise height,24 March 2021,"24 March 2021 - concerns about environmental impact of plan to raise height of 3 wind turbines in Tynemouth
The following letter has been sent to the developers and the Northumberland National Park Authority following concerns raised by Cllr. Sue Gray about the plans for raising three wind turbines in Tynemouth
Councillor Sue Gray
Councillor, Seaton Valley ward
Burradon, Seaton Sluice
I understand that a planning application has been submitted to Northumberland National Park Authority for a number of changes to wind turbines at the wind farm in Tynemouth. I was particularly concerned to read about the plans to raise the turbines to 120m, 131m and 142m, making them higher than the Black Hill Wind Farm in the Park.
As Councillor for Seaton Sluice, I have had a number of residents who have contacted me concerned about the environmental impact of the wind farm on Tynemouth beach. They are concerned that the proposed new height of the turbines would result in an increase in"," of 3 wind turbines in Tynemouth
The following letter has been sent to the developers and the Northumberland National Park Authority following concerns raised by Cllr. Sue Gray about the plans for raising three wind turbines in Tynemouth
Councillor Sue Gray
Councillor, Seaton Valley ward
Burradon, Seaton Sluice
I understand that a planning application has been submitted to Northumberland National Park Authority for a number of changes to wind turbines at the wind farm in Tynemouth. I was particularly concerned to read about the plans to raise the turbines to 120m, 131m and 142m, making them higher than the Black Hill Wind Farm in the Park.
As Councillor for Seaton Sluice, I have had a number of residents who have contacted me concerned about the environmental impact of the wind farm on Tynemouth beach. They are concerned that the proposed new height of the turbines would result in an increase in"
nsw researchers study how masks protect against bushfire smoke,05 January 2021,"05 January 2021 - nsw researchers study how masks protect against bushfire smoke
New South Wales researchers are studying how masks protect against bushfire smoke
Scientists at the University of Sydney’s Charles Perkins Centre have launched a trial study into how masks protect against bushfire smoke, as communities are urged to stay indoors during the hot weather.
Lead researcher Dr Michelle Wong said the study aimed to evaluate the effectiveness of masks on bushfire smoke.
“We have conducted preliminary studies and found that a variety of masks, including N95 masks, surgical masks, and even masks worn by runners and cyclists, are more effective at filtering out smoke particles than a simple bandanna or scarf,” she said.
“However, further studies need to be done to test the most effective type of mask, depending on the situation.”
Dr Wong said masks can provide a layer of protection, but may not be enough for people with respiratory conditions.
“We are recommending that people who suffer from asthma and other respiratory conditions should stay indoors and away from any smoke or air pollution,” she said.
“Our advice to people without respiratory conditions","
New South Wales researchers are studying how masks protect against bushfire smoke
Scientists at the University of Sydney’s Charles Perkins Centre have launched a trial study into how masks protect against bushfire smoke, as communities are urged to stay indoors during the hot weather.
Lead researcher Dr Michelle Wong said the study aimed to evaluate the effectiveness of masks on bushfire smoke.
“We have conducted preliminary studies and found that a variety of masks, including N95 masks, surgical masks, and even masks worn by runners and cyclists, are more effective at filtering out smoke particles than a simple bandanna or scarf,” she said.
“However, further studies need to be done to test the most effective type of mask, depending on the situation.”
Dr Wong said masks can provide a layer of protection, but may not be enough for people with respiratory conditions.
“We are recommending that people who suffer from asthma and other respiratory conditions should stay indoors and away from any smoke or air pollution,” she said.
“Our advice to people without respiratory conditions"
sydney residents picnic as state records 1;257,14 September 2021,"14 September 2021 - sydney residents picnic as state records 1;257 new local cases
The state has recorded 1,257 new cases of Covid-19 in the 24 hours to 8pm last night.
There have also been seven Covid deaths.
Of those, three are linked to outbreaks.
A man in his 80s who had been a resident of the Silverwater Correctional Centre.
A man in his 70s who was a resident of the Fairfield Gardens Aged Care Home.
A woman in her 90s who was a resident of the North Ryde Hospital.
There are 1,032 people in hospital with Covid-19."," new local cases
The state has recorded 1,257 new cases of Covid-19 in the 24 hours to 8pm last night.
There have also been seven Covid deaths.
Of those, three are linked to outbreaks.
A man in his 80s who had been a resident of the Silverwater Correctional Centre.
A man in his 70s who was a resident of the Fairfield Gardens Aged Care Home.
A woman in her 90s who was a resident of the North Ryde Hospital.
There are 1,032 people in hospital with Covid-19."
the role weather has played in covid outbreak,18 November 2021,"18 November 2021 - the role weather has played in covid outbreak.
A look at the past 4 weeks - Covid outbreak
19 October 2021 - Covid 19 numbers rise.
29 October 2021 - A look at the past 2 weeks - Covid outbreak
5 November 2021 - Covid numbers continue to rise
12 November 2021 - A look at the past 2 weeks - Covid outbreak
26 November 2021 - Covid outbreak in Bay of Plenty
3 December 2021 - A look at the past 2 weeks - Covid outbreak
18 November 2021 - Covid outbreak - the role weather has played in outbreak.
25 November 2021 - Covid outbreak - a look at the past 2 weeks.
10 December 2021 - Covid outbreak - a look at the past 2 weeks
17 December 2021 - Covid outbreak - a look at the past 2 weeks
A look at the past 4 weeks - Covid outbreak
October 12 – October 19 –  Covid 19 numbers",".
A look at the past 4 weeks - Covid outbreak
19 October 2021 - Covid 19 numbers rise.
29 October 2021 - A look at the past 2 weeks - Covid outbreak
5 November 2021 - Covid numbers continue to rise
12 November 2021 - A look at the past 2 weeks - Covid outbreak
26 November 2021 - Covid outbreak in Bay of Plenty
3 December 2021 - A look at the past 2 weeks - Covid outbreak
18 November 2021 - Covid outbreak - the role weather has played in outbreak.
25 November 2021 - Covid outbreak - a look at the past 2 weeks.
10 December 2021 - Covid outbreak - a look at the past 2 weeks
17 December 2021 - Covid outbreak - a look at the past 2 weeks
A look at the past 4 weeks - Covid outbreak
October 12 – October 19 –  Covid 19 numbers"
the matildas open their olympic campaign with a win,22 July 2021,"22 July 2021 - the matildas open their olympic campaign with a win over japan.
23 July 2021 - a late goal from sam mewis sees the US beat a spirited netherlands side.
24 July 2021 - the australian matildas and the USWNT face off in a quarter-final matchup.
25 July 2021 - the quarter-final between the netherlands and canada is a close match that goes to extra time.
26 July 2021 - in the first ever olympic football final, the US defeat the european champions netherlands on penalties.
1 August 2021 - the US and netherlands face off once more in the women's olympic soccer tournament, but this time with a bronze medal on the line.
2 August 2021 - the netherlands come back to beat the australian matildas in the olympic bronze medal game.
Australia Netherlands Olympics Sam Kerr
1 August 2021 - the US and netherlands face off once more in the women's olympic soccer tournament, but this"," over japan.
23 July 2021 - a late goal from sam mewis sees the US beat a spirited netherlands side.
24 July 2021 - the australian matildas and the USWNT face off in a quarter-final matchup.
25 July 2021 - the quarter-final between the netherlands and canada is a close match that goes to extra time.
26 July 2021 - in the first ever olympic football final, the US defeat the european champions netherlands on penalties.
1 August 2021 - the US and netherlands face off once more in the women's olympic soccer tournament, but this time with a bronze medal on the line.
2 August 2021 - the netherlands come back to beat the australian matildas in the olympic bronze medal game.
Australia Netherlands Olympics Sam Kerr
1 August 2021 - the US and netherlands face off once more in the women's olympic soccer tournament, but this"
school kids thriving business breeding miniature,08 October 2021,"08 October 2021 - school kids thriving business breeding miniature pigs
Piglets in the making – The future is bright for pig farming
If you were to visit a farm in the West of Ireland where a number of pig breeders are operating, you’d see miniature piglets running around. Some people may think they are cute, but for the pig breeders, they are very useful. In a market where prices are down, and many people are losing their livelihoods, these miniature pigs could be the solution. 
In Ireland there is a pig shortage. There are many pig farmers who are finding it increasingly difficult to find pigs. In 2020 the number of pig farms dropped by 10 per cent. 
The Irish pig industry is highly dependent on imports and exports. It’s estimated that we need 80,000 pigs to supply the market. At the moment, we only have about 60,000. 
The decline in the number of pig farms can be partly attributed to the Covid pandemic. In the summer of 2020"," pigs
Piglets in the making – The future is bright for pig farming
If you were to visit a farm in the West of Ireland where a number of pig breeders are operating, you’d see miniature piglets running around. Some people may think they are cute, but for the pig breeders, they are very useful. In a market where prices are down, and many people are losing their livelihoods, these miniature pigs could be the solution. 
In Ireland there is a pig shortage. There are many pig farmers who are finding it increasingly difficult to find pigs. In 2020 the number of pig farms dropped by 10 per cent. 
The Irish pig industry is highly dependent on imports and exports. It’s estimated that we need 80,000 pigs to supply the market. At the moment, we only have about 60,000. 
The decline in the number of pig farms can be partly attributed to the Covid pandemic. In the summer of 2020"
underemployment and wages stagnation threatens covid recovery,04 February 2021,"04 February 2021 - underemployment and wages stagnation threatens covid recovery
Underemployment is now at a level of 12.9%, the highest in the last 10 years.  It is also the second-highest level on record since 2001, only marginally lower than the peak of 14.1% underemployment in late 2009/early 2010.  The underemployment rate was 13.6% in December 2020.
The number of people in underemployment is estimated at 1.5 million.  This represents the equivalent of the workforce of the Sunshine Coast or the City of Sydney.
Underemployment is now significantly higher than the unemployment rate.  While the unemployment rate is 6.3%, the underemployment rate is 12.9%.
The underemployment rate is significantly higher in New South Wales (14.2%) than in Victoria (10.4%), Queensland (9.8%) and South Australia (10.1%).  The underemployment rate is also higher in Victoria than in any other","
Underemployment is now at a level of 12.9%, the highest in the last 10 years.  It is also the second-highest level on record since 2001, only marginally lower than the peak of 14.1% underemployment in late 2009/early 2010.  The underemployment rate was 13.6% in December 2020.
The number of people in underemployment is estimated at 1.5 million.  This represents the equivalent of the workforce of the Sunshine Coast or the City of Sydney.
Underemployment is now significantly higher than the unemployment rate.  While the unemployment rate is 6.3%, the underemployment rate is 12.9%.
The underemployment rate is significantly higher in New South Wales (14.2%) than in Victoria (10.4%), Queensland (9.8%) and South Australia (10.1%).  The underemployment rate is also higher in Victoria than in any other"
what you need to know about sydney's recent covid,05 January 2021,"05 January 2021 - what you need to know about sydney's recent covid case
In the early hours of Monday 4 January, NSW health authorities confirmed that a case of COVID-19 had been identified in the Bondi area. The individual was a 22-year-old man who had returned to Sydney from overseas on 23 December 2020. He was asymptomatic upon his return, but subsequently became symptomatic on the 31st. After experiencing fever and chills, the man sought medical care and was tested for COVID-19. His test result was positive, prompting the activation of a 14-day quarantine period for the man and the 11 individuals he has been in contact with. To date, none of these individuals have shown any symptoms of COVID-19, and there are no confirmed cases of the virus anywhere in NSW. The man has been quarantined and the 14-day quarantine period is in its second day, with no further symptoms. Authorities believe that the risk of exposure to the virus is low.
How are authorities handling the COVID-"," case
In the early hours of Monday 4 January, NSW health authorities confirmed that a case of COVID-19 had been identified in the Bondi area. The individual was a 22-year-old man who had returned to Sydney from overseas on 23 December 2020. He was asymptomatic upon his return, but subsequently became symptomatic on the 31st. After experiencing fever and chills, the man sought medical care and was tested for COVID-19. His test result was positive, prompting the activation of a 14-day quarantine period for the man and the 11 individuals he has been in contact with. To date, none of these individuals have shown any symptoms of COVID-19, and there are no confirmed cases of the virus anywhere in NSW. The man has been quarantined and the 14-day quarantine period is in its second day, with no further symptoms. Authorities believe that the risk of exposure to the virus is low.
How are authorities handling the COVID-"
sydneysiders fined for breaching covid lockdown,06 July 2021,"06 July 2021 - sydneysiders fined for breaching covid lockdown restrictions
A 22-year-old woman and a 36-year-old man have been fined more than $10,000 each by the court for breaching the New South Wales lockdown restrictions. The couple, who live in the same suburb, were allegedly involved in a consensual sexual encounter, which they were told to stop by an officer from NSW Police Force’s Domestic and Family Violence Investigation Unit. The woman and man told police they had been in a “consensual relationship” and that they had “bonded”. They were issued with a fixed-penalty notice and a summons. They were issued with a fine of $500 for failing to comply with the mandatory quarantine order and a fine of $200 for breaching the mandatory face mask rule. Both were fined a further $200 for failing to comply with the mandatory mask rule. The couple are now under investigation for breaching the mandatory quarantine rule. They were issued with a notice of intention to issue a fine and a notice of intention to issue"," restrictions
A 22-year-old woman and a 36-year-old man have been fined more than $10,000 each by the court for breaching the New South Wales lockdown restrictions. The couple, who live in the same suburb, were allegedly involved in a consensual sexual encounter, which they were told to stop by an officer from NSW Police Force’s Domestic and Family Violence Investigation Unit. The woman and man told police they had been in a “consensual relationship” and that they had “bonded”. They were issued with a fixed-penalty notice and a summons. They were issued with a fine of $500 for failing to comply with the mandatory quarantine order and a fine of $200 for breaching the mandatory face mask rule. Both were fined a further $200 for failing to comply with the mandatory mask rule. The couple are now under investigation for breaching the mandatory quarantine rule. They were issued with a notice of intention to issue a fine and a notice of intention to issue"
museum volunteers fight for historic humphrey pump to pump again,11 February 2021,"11 February 2021 - museum volunteers fight for historic humphrey pump to pump again
The National Trust's historic 'Humphrey' pump is getting a new lease of life thanks to a group of dedicated volunteers.
The 18th century water pump has been lying idle for years in the grounds of the Trust's Westfield House in the Shropshire countryside and the volunteers hope to see it restored to working order to help the local community.
The volunteers, who are all part of the National Trust’s Heritage Skills Programme, have been working to restore the pump for the past year.
The pump is thought to be over 250 years old and was originally brought to the house as a working feature but is now in a derelict state.
They plan to restore the original 18th century features, which are largely intact, to provide a water supply for the local community and help to improve the health of the environment.
Diana McMillan, of the Heritage Skills programme said:
“We’ve been busy working with the National Trust to restore this historic feature to working order,","
The National Trust's historic 'Humphrey' pump is getting a new lease of life thanks to a group of dedicated volunteers.
The 18th century water pump has been lying idle for years in the grounds of the Trust's Westfield House in the Shropshire countryside and the volunteers hope to see it restored to working order to help the local community.
The volunteers, who are all part of the National Trust’s Heritage Skills Programme, have been working to restore the pump for the past year.
The pump is thought to be over 250 years old and was originally brought to the house as a working feature but is now in a derelict state.
They plan to restore the original 18th century features, which are largely intact, to provide a water supply for the local community and help to improve the health of the environment.
Diana McMillan, of the Heritage Skills programme said:
“We’ve been busy working with the National Trust to restore this historic feature to working order,"
brittany higgins speech womens march parliament house canberra,15 March 2021,"15 March 2021 - brittany higgins speech womens march parliament house canberra australian federal parliament 15 March 2021 - brittany higgins speech womens march parliament house canberra australian federal parliament
March 16th, 2017  |  by Brittany Higgins  |  Comments
The 16th March 2017 was a day I will never forget. It is the day that my assault at Parliament House became public. It is the day that the truth was shared and that I knew I could never go back to the way things were.
I am writing to you as a survivor and as a woman who has experienced the trauma of sexual assault in the workplace. As a young woman, I am also writing to you as a future mother.
The assault I experienced at the hands of my boss and my colleagues took place in 2009. Since that day, I have been waiting for change. I have been waiting for the men in power, including my government, to stand up and say ‘enough is enough’. I have"," australian federal parliament  australian federal parliament
March 16th, 2017  |  by Brittany Higgins  |  Comments
The 16th March 2017 was a day I will never forget. It is the day that my assault at Parliament House became public. It is the day that the truth was shared and that I knew I could never go back to the way things were.
I am writing to you as a survivor and as a woman who has experienced the trauma of sexual assault in the workplace. As a young woman, I am also writing to you as a future mother.
The assault I experienced at the hands of my boss and my colleagues took place in 2009. Since that day, I have been waiting for change. I have been waiting for the men in power, including my government, to stand up and say ‘enough is enough’. I have"
